"Código","Municipio","Nivel Educativo","Cantidad de Personas"
1402,"Chiché","Preprimaria",1016
1402,"Chiché","Primaria, 1-3",6791
1402,"Chiché","Primaria, 4-5",3287
1402,"Chiché","Primaria, 6",4753
1402,"Chiché","Basico",1100
1402,"Chiché","Diversificado",858
1402,"Chiché","Licenciatura",245
1402,"Chiché","Maestria y doctorado",12
1403,"Chinique","Ninguno",2572
1403,"Chinique","Preprimaria",651
1403,"Chinique","Primaria, 1-3",2299
1403,"Chinique","Primaria, 4-5",1045
1403,"Chinique","Primaria, 6",1348
1403,"Chinique","Basico",1080
1403,"Chinique","Diversificado",974
1403,"Chinique","Licenciatura",344
1403,"Chinique","Maestria y doctorado",24
1404,"Zacualpa","Ninguno",11592
1404,"Zacualpa","Preprimaria",1136
1404,"Zacualpa","Primaria, 1-3",6583
1404,"Zacualpa","Primaria, 4-5",3194
1404,"Zacualpa","Primaria, 6",4097
1404,"Zacualpa","Basico",1531
1404,"Zacualpa","Diversificado",1064
1404,"Zacualpa","Licenciatura",239
1404,"Zacualpa","Maestria y doctorado",11
1405,"Chajul","Ninguno",15560
1405,"Chajul","Preprimaria",2235
1405,"Chajul","Primaria, 1-3",8014
1405,"Chajul","Primaria, 4-5",4586
1405,"Chajul","Primaria, 6",5493
1405,"Chajul","Basico",3246
1405,"Chajul","Diversificado",2023
1405,"Chajul","Licenciatura",445
1405,"Chajul","Maestria y doctorado",16
1406,"Santo Tomás Chichicastenango","Ninguno",38345
1406,"Santo Tomás Chichicastenango","Preprimaria",4567
1406,"Santo Tomás Chichicastenango","Primaria, 1-3",32675
1406,"Santo Tomás Chichicastenango","Primaria, 4-5",15888
1406,"Santo Tomás Chichicastenango","Primaria, 6",20396
1406,"Santo Tomás Chichicastenango","Basico",8405
1406,"Santo Tomás Chichicastenango","Diversificado",6892
1406,"Santo Tomás Chichicastenango","Licenciatura",1188
1406,"Santo Tomás Chichicastenango","Maestria y doctorado",93
1407,"Patzité","Ninguno",1340
1407,"Patzité","Preprimaria",336
1407,"Patzité","Primaria, 1-3",1629
1407,"Patzité","Primaria, 4-5",672
1407,"Patzité","Primaria, 6",679
1407,"Patzité","Basico",492
1407,"Patzité","Diversificado",296
1407,"Patzité","Licenciatura",29
1407,"Patzité","Maestria y doctorado",5
1408,"San Antonio Ilotenango","Ninguno",8494
1408,"San Antonio Ilotenango","Preprimaria",1049
1408,"San Antonio Ilotenango","Primaria, 1-3",5070
1408,"San Antonio Ilotenango","Primaria, 4-5",2282
1408,"San Antonio Ilotenango","Primaria, 6",3181
1408,"San Antonio Ilotenango","Basico",1215
1408,"San Antonio Ilotenango","Diversificado",985
1408,"San Antonio Ilotenango","Licenciatura",129
1408,"San Antonio Ilotenango","Maestria y doctorado",7
1409,"San Pedro Jocopilas","Ninguno",10638
1409,"San Pedro Jocopilas","Preprimaria",751
1409,"San Pedro Jocopilas","Primaria, 1-3",7675
1409,"San Pedro Jocopilas","Primaria, 4-5",3250
1409,"San Pedro Jocopilas","Primaria, 6",3720
1409,"San Pedro Jocopilas","Basico",1464
1409,"San Pedro Jocopilas","Diversificado",923
1409,"San Pedro Jocopilas","Licenciatura",94
1409,"San Pedro Jocopilas","Maestria y doctorado",13
1410,"Cunén","Ninguno",10551
1410,"Cunén","Preprimaria",1738
1410,"Cunén","Primaria, 1-3",7819
1410,"Cunén","Primaria, 4-5",3919
1410,"Cunén","Primaria, 6",5685
1410,"Cunén","Basico",3648
1410,"Cunén","Diversificado",2720
1410,"Cunén","Licenciatura",555
1410,"Cunén","Maestria y doctorado",30
1411,"San Juan Cotzal","Ninguno",9084
1411,"San Juan Cotzal","Preprimaria",1652
1411,"San Juan Cotzal","Primaria, 1-3",5964
1411,"San Juan Cotzal","Primaria, 4-5",2464
1411,"San Juan Cotzal","Primaria, 6",3083
1411,"San Juan Cotzal","Basico",3217
1411,"San Juan Cotzal","Diversificado",2388
1411,"San Juan Cotzal","Licenciatura",364
1411,"San Juan Cotzal","Maestria y doctorado",13
1412,"Joyabaj","Ninguno",32401
1412,"Joyabaj","Preprimaria",2434
1412,"Joyabaj","Primaria, 1-3",15933
1412,"Joyabaj","Primaria, 4-5",6896
1412,"Joyabaj","Primaria, 6",8727
1412,"Joyabaj","Basico",3028
1412,"Joyabaj","Diversificado",2525
1412,"Joyabaj","Licenciatura",715
1412,"Joyabaj","Maestria y doctorado",47
1413,"Santa María Nebaj","Ninguno",20421
1413,"Santa María Nebaj","Preprimaria",2988
1413,"Santa María Nebaj","Primaria, 1-3",10971
1413,"Santa María Nebaj","Primaria, 4-5",5706
1413,"Santa María Nebaj","Primaria, 6",8321
1413,"Santa María Nebaj","Basico",8699
1413,"Santa María Nebaj","Diversificado",7311
1413,"Santa María Nebaj","Licenciatura",1493
1413,"Santa María Nebaj","Maestria y doctorado",122
1414,"San Andrés Sajcabajá","Ninguno",10016
1414,"San Andrés Sajcabajá","Preprimaria",742
1414,"San Andrés Sajcabajá","Primaria, 1-3",4298
1414,"San Andrés Sajcabajá","Primaria, 4-5",2142
1414,"San Andrés Sajcabajá","Primaria, 6",2571
1414,"San Andrés Sajcabajá","Basico",1594
1414,"San Andrés Sajcabajá","Diversificado",1112
1414,"San Andrés Sajcabajá","Licenciatura",218
1414,"San Andrés Sajcabajá","Maestria y doctorado",17
1415,"San Miguel Uspantán","Ninguno",20600
1415,"San Miguel Uspantán","Preprimaria",3932
1415,"San Miguel Uspantán","Primaria, 1-3",10714
