"Código","Municipio","Total de personas","Lugar de Residencia en 2013","Personas","Porcentaje de la Poblacion"
203,"San Agustín Acasaguastlán",45765,"En el mismo municipio",39271,85.81
204,"San Cristóbal Acasaguastlán",7199,"En el mismo municipio",6249,86.8
205,"El Jícaro",13128,"En el mismo municipio",11706,89.17
206,"Sansare",13154,"En el mismo municipio",11614,88.29
207,"Sanarate",39444,"En el mismo municipio",34725,88.04
208,"San Antonio la Paz",20957,"En el mismo municipio",17713,84.52
301,"Antigua Guatemala",46054,"En el mismo municipio",40362,87.64
302,"Jocotenango",21657,"En el mismo municipio",18729,86.48
303,"Pastores",17814,"En el mismo municipio",15375,86.31
304,"Sumpango",37260,"En el mismo municipio",31641,84.92
305,"Santo Domingo Xenacoj",12402,"En el mismo municipio",10462,84.36
306,"Santiago Sacatepéquez",29238,"En el mismo municipio",24394,83.43
307,"San Bartolomé Milpas Altas",7816,"En el mismo municipio",6068,77.64
308,"San Lucas Sacatepéquez",23369,"En el mismo municipio",19040,81.48
309,"Santa Lucía Milpas Altas",15570,"En el mismo municipio",12673,81.39
310,"Magdalena Milpas Altas",11856,"En el mismo municipio",10485,88.44
311,"Santa María de Jesús",21938,"En el mismo municipio",19132,87.21
312,"Ciudad Vieja",33405,"En el mismo municipio",28431,85.11
313,"San Miguel Dueñas",12696,"En el mismo municipio",10559,83.17
314,"San Juan Alotenango",23986,"En el mismo municipio",21022,87.64
315,"San Antonio Aguas Calientes",11347,"En el mismo municipio",9681,85.32
316,"Santa Catarina Barahona",4061,"En el mismo municipio",3389,83.45
401,"Chimaltenango",96985,"En el mismo municipio",83081,85.66
402,"San José Poaquil",26845,"En el mismo municipio",23730,88.4
403,"San Martín Jilotepeque",73469,"En el mismo municipio",64629,87.97
404,"San Juan Comalapa",48597,"En el mismo municipio",42566,87.59
405,"Santa Apolonia",18540,"En el mismo municipio",15636,84.34
406,"Tecpán Guatemala",91927,"En el mismo municipio",78885,85.81
407,"Patzún",58240,"En el mismo municipio",50371,86.49
408,"San Miguel Pochuta",8790,"En el mismo municipio",7677,87.34
409,"Patzicía",33207,"En el mismo municipio",28844,86.86
410,"Santa Cruz Balanyá",9479,"En el mismo municipio",7942,83.79
411,"Acatenango",23228,"En el mismo municipio",20052,86.33
412,"San Pedro Yepocapa",34948,"En el mismo municipio",29966,85.74
413,"San Andrés Itzapa",32083,"En el mismo municipio",27165,84.67
414,"Parramos",15924,"En el mismo municipio",13517,84.88
415,"Zaragoza",24022,"En el mismo municipio",20257,84.33
416,"El Tejar",19492,"En el mismo municipio",16001,82.09
501,"Escuintla",156313,"En el mismo municipio",135236,86.52
502,"Santa Lucía Cotzumalguapa",112780,"En el mismo municipio",97289,86.26
503,"La Democracia",23017,"En el mismo municipio",19273,83.73
504,"Siquinalá",22968,"En el mismo municipio",18796,81.84
505,"Masagua",45323,"En el mismo municipio",38039,83.93
506,"Tiquisate",57292,"En el mismo municipio",48920,85.39
507,"La Gomera",46666,"En el mismo municipio",39751,85.18
508,"Guanagazapa",15958,"En el mismo municipio",13451,84.29
509,"San José",62801,"En el mismo municipio",54088,86.13
510,"Iztapa",18342,"En el mismo municipio",15874,86.54
511,"Palín",65873,"En el mismo municipio",53330,80.96
512,"San Vicente Pacaya",16705,"En el mismo municipio",14350,85.9
513,"Nueva Concepción",72909,"En el mismo municipio",62763,86.08
514,"Sipacate",16234,"En el mismo municipio",13655,84.11
601,"Cuilapa",41359,"En el mismo municipio",35752,86.44
602,"Barberena",58276,"En el mismo municipio",49547,85.02
603,"Santa Rosa de Lima",19702,"En el mismo municipio",16337,82.92
604,"Casillas",24956,"En el mismo municipio",21712,87
605,"San Rafael las Flores",12641,"En el mismo municipio",10436,82.56
606,"Oratorio",24954,"En el mismo municipio",20940,83.91
607,"San Juan Tecuaco",10122,"En el mismo municipio",8593,84.89
608,"Chiquimulilla",53727,"En el mismo municipio",46560,86.66
609,"Taxisco",29846,"En el mismo municipio",25420,85.17
610,"Santa María Ixhuatán",23801,"En el mismo municipio",20608,86.58
611,"Guazacapán",18855,"En el mismo municipio",16154,85.67
612,"Santa Cruz Naranjo",16385,"En el mismo municipio",13707,83.66
613,"Pueblo Nuevo Viñas",25529,"En el mismo municipio",21931,85.91
614,"Nueva Santa Rosa",36454,"En el mismo municipio",31334,85.95
701,"Sololá",88612,"En el mismo municipio",78234,88.29
702,"San José Chacayá",4068,"En el mismo municipio",3456,84.96
703,"Santa María Visitación",2370,"En el mismo municipio",2079,87.72
704,"Santa Lucía Utatlán",21284,"En el mismo municipio",18824,88.44
705,"Nahualá",75430,"En el mismo municipio",66530,88.2
706,"Santa Catarina Ixtahuacán",56981,"En el mismo municipio",49469,86.82
707,"Santa Clara la Laguna",9405,"En el mismo municipio",8279,88.03
708,"Concepción",6601,"En el mismo municipio",5682,86.08
