"Código","Municipio","Total de personas","Lugar de Nacimiento","Personas","Porcentaje de la Poblacion"
1310,"Santa Bárbara",33608,"En otro municipio",688,2.05
1311,"La Libertad",38234,"En otro municipio",1049,2.74
1312,"La Democracia",55434,"En otro municipio",8610,15.53
1313,"San Miguel Acatán",27128,"En otro municipio",920,3.39
1314,"San Rafael La Independencia",14149,"En otro municipio",943,6.66
1315,"Todos Santos Cuchumatán",30186,"En otro municipio",1064,3.52
1316,"San Juan Atitán",19418,"En otro municipio",103,0.53
1317,"Santa Eulalia",39025,"En otro municipio",536,1.37
1318,"San Mateo Ixtatán",43810,"En otro municipio",110,0.25
1319,"Colotenango",34834,"En otro municipio",1098,3.15
1320,"San Sebastián Huehuetenango",32608,"En otro municipio",617,1.89
1321,"Tectitán",10830,"En otro municipio",461,4.26
1322,"Concepción Huista",18915,"En otro municipio",642,3.39
1323,"San Juan Ixcoy",23204,"En otro municipio",931,4.01
1324,"San Antonio Huista",16697,"En otro municipio",2751,16.48
1325,"San Sebastián Coatán",20905,"En otro municipio",749,3.58
1326,"Santa Cruz Barillas",100849,"En otro municipio",5891,5.84
1327,"Aguacatán",49607,"En otro municipio",1495,3.01
1328,"San Rafael Petzal",11271,"En otro municipio",855,7.59
1329,"San Gaspar Ixchil",8142,"En otro municipio",205,2.52
1330,"Santiago Chimaltenango",10507,"En otro municipio",285,2.71
1331,"Santa Ana Huista",9413,"En otro municipio",1437,15.27
1332,"Unión Cantinil",15900,"En otro municipio",819,5.15
1333,"Petatán",6366,"En otro municipio",650,10.21
1401,"Santa Cruz del Quiché",78279,"En otro municipio",4798,6.13
1402,"Chiché",29646,"En otro municipio",1532,5.17
1403,"Chinique",11382,"En otro municipio",907,7.97
1404,"Zacualpa",32750,"En otro municipio",1939,5.92
1405,"Chajul",46658,"En otro municipio",541,1.16
1406,"Santo Tomás Chichicastenango",141567,"En otro municipio",2557,1.81
1407,"Patzité",6144,"En otro municipio",657,10.69
1408,"San Antonio Ilotenango",25590,"En otro municipio",908,3.55
1409,"San Pedro Jocopilas",31950,"En otro municipio",987,3.09
1410,"Cunén",41455,"En otro municipio",844,2.04
1411,"San Juan Cotzal",31532,"En otro municipio",687,2.18
1412,"Joyabaj",82369,"En otro municipio",1633,1.98
1413,"Santa María Nebaj",72686,"En otro municipio",1814,2.5
1414,"San Andrés Sajcabajá",24981,"En otro municipio",721,2.89
1415,"San Miguel Uspantán",65872,"En otro municipio",2882,4.38
1416,"Sacapulas",52620,"En otro municipio",1307,2.48
1417,"San Bartolomé Jocotenango",13568,"En otro municipio",488,3.6
1418,"Canillá",12172,"En otro municipio",1394,11.45
1419,"Chicamán",39731,"En otro municipio",3613,9.09
1420,"Playa Grande Ixcán",99470,"En otro municipio",25343,25.48
1421,"Pachalum",8839,"En otro municipio",2977,33.68
1501,"Salamá",65275,"En otro municipio",9665,14.81
1502,"San Miguel Chicaj",33121,"En otro municipio",1738,5.25
1503,"Rabinal",40797,"En otro municipio",2978,7.3
1504,"Cubulco",54869,"En otro municipio",1875,3.42
1505,"Granados",13595,"En otro municipio",1605,11.81
1506,"Santa Cruz El Chol",9538,"En otro municipio",1245,13.05
1507,"San Jerónimo",25459,"En otro municipio",6106,23.98
1508,"Purulhá",56822,"En otro municipio",3050,5.37
1601,"Cobán",212421,"En otro municipio",32280,15.2
1602,"Santa Cruz Verapaz",32042,"En otro municipio",7015,21.89
1603,"San Cristóbal Verapaz",68819,"En otro municipio",3273,4.76
1604,"Tactic",38052,"En otro municipio",4568,12
1605,"Tamahú",19984,"En otro municipio",858,4.29
1606,"San Miguel Tucurú",43473,"En otro municipio",1353,3.11
1607,"Panzós",71846,"En otro municipio",6316,8.79
1608,"Senahú",91974,"En otro municipio",1912,2.08
1609,"San Pedro Carchá",235275,"En otro municipio",12520,5.32
1610,"San Juan Chamelco",57456,"En otro municipio",5558,9.67
1611,"San Agustín Lanquín",24099,"En otro municipio",527,2.19
1612,"Santa María Cahabón",64911,"En otro municipio",1612,2.48
1613,"Chisec",84553,"En otro municipio",17200,20.34
1614,"Chahal",26644,"En otro municipio",3559,13.36
1615,"Fray Bartolomé de las Casas",66141,"En otro municipio",13220,19.99
1616,"Santa Catalina La Tinta",40516,"En otro municipio",5366,13.24
1617,"Raxruhá",36832,"En otro municipio",9266,25.16
1701,"Flores",38186,"En otro municipio",12434,32.56
1702,"San José",6989,"En otro municipio",3906,55.89
1703,"San Benito",43841,"En otro municipio",12111,27.62
1704,"San Andrés",32878,"En otro municipio",14630,44.5
1705,"La Libertad",71939,"En otro municipio",20073,27.9
1706,"San Francisco",15371,"En otro municipio",6882,44.77
1707,"Santa Ana",21970,"En otro municipio",7964,36.25
1708,"Dolores",26920,"En otro municipio",9265,34.42
1709,"San Luis",67038,"En otro municipio",10710,15.98
1710,"Sayaxché",93414,"En otro municipio",28546,30.56
1711,"Melchor de Mencos",28238,"En otro municipio",9340,33.08
1712,"Poptún",52282,"En otro municipio",15766,30.16
1713,"Las Cruces",32715,"En otro municipio",12020,36.74
1714,"El Chal",13819,"En otro municipio",6031,43.64
1801,"Puerto Barrios",100593,"En otro municipio",19315,19.2
1802,"Livingston",73492,"En otro municipio",13880,18.89
1803,"El Estor",73328,"En otro municipio",10974,14.97
1804,"Morales",100361,"En otro municipio",22556,22.47
1805,"Los Amates",60914,"En otro municipio",15464,25.39
1901,"Zacapa",60424,"En otro municipio",10121,16.75
1902,"Estanzuela",9797,"En otro municipio",1414,14.43
1903,"Río Hondo",21434,"En otro municipio",2555,11.92
1904,"Gualán",45663,"En otro municipio",3724,8.16
1905,"Teculután",17602,"En otro municipio",2202,12.51
1906,"Usumatlán",12232,"En otro municipio",2997,24.5
1907,"Cabañas",13641,"En otro municipio",1692,12.4
1908,"San Diego",7235,"En otro municipio",1634,22.58
1909,"La Unión",33572,"En otro municipio",1207,3.6
1910,"Huité",11470,"En otro municipio",1350,11.77
1911,"San Jorge",12304,"En otro municipio",1297,10.54
2001,"Chiquimula",111505,"En otro municipio",10426,9.35
2002,"San José la Arada",8756,"En otro municipio",2062,23.55
2003,"San Juan Ermita",16418,"En otro municipio",1680,10.23
2004,"Jocotán",66379,"En otro municipio",1917,2.89
2005,"Camotán",56138,"En otro municipio",2406,4.29
2006,"Olopa",27511,"En otro municipio",1650,6
2007,"Esquipulas",53556,"En otro municipio",7089,13.24
2008,"Concepción las Minas",11693,"En otro municipio",1218,10.42
2009,"Quezaltepeque",28075,"En otro municipio",2278,8.11
2010,"San Jacinto",12619,"En otro municipio",891,7.06
2011,"Ipala",22413,"En otro municipio",3350,14.95
2101,"Jalapa",159840,"En otro municipio",12713,7.95
2102,"San Pedro Pinula",61908,"En otro municipio",2909,4.7
2103,"San Luis Jilotepeque",24679,"En otro municipio",2596,10.52
2104,"San Manuel Chaparrón",8317,"En otro municipio",1657,19.92
2105,"San Carlos Alzatate",18977,"En otro municipio",970,5.11
2106,"Monjas",27354,"En otro municipio",5924,21.66
2107,"Mataquescuintla",41848,"En otro municipio",3026,7.23
2201,"Jutiapa",145880,"En otro municipio",10070,6.9
2202,"El Progreso",22114,"En otro municipio",4150,18.77
2203,"Santa Catarina Mita",28983,"En otro municipio",3987,13.76
2204,"Agua Blanca",16353,"En otro municipio",2075,12.69
2205,"Asunción Mita",48297,"En otro municipio",7265,15.04
2206,"Yupiltepeque",17389,"En otro municipio",1983,11.4
2207,"Atescatempa",18402,"En otro municipio",1556,8.46
2208,"Jerez",6309,"En otro municipio",949,15.04
2209,"El Adelanto",6500,"En otro municipio",786,12.09
2210,"Zapotitlán",9126,"En otro municipio",1017,11.14
2211,"Comapa",32207,"En otro municipio",2612,8.11
2212,"Jalpatagua",28832,"En otro municipio",4355,15.1
2213,"Conguaco",23452,"En otro municipio",841,3.59
2214,"Moyuta",39781,"En otro municipio",2381,5.99
2215,"Pasaco",8854,"En otro municipio",1620,18.3
2216,"San José Acatempa",13206,"En otro municipio",787,5.96
2217,"Quesada",22710,"En otro municipio",2714,11.95
101,"Guatemala",923392,"En otro paÍs",14735,1.6
102,"Santa Catarina Pinula",80582,"En otro paÍs",1702,2.11
103,"San José Pinula",79844,"En otro paÍs",1055,1.32
104,"San José del Golfo",7229,"En otro paÍs",48,0.66
105,"Palencia",70973,"En otro paÍs",318,0.45
106,"Chinautla",114752,"En otro paÍs",779,0.68
107,"San Pedro Ayampuc",58609,"En otro paÍs",304,0.52
108,"Mixco",465773,"En otro paÍs",6023,1.29
109,"San Pedro Sacatepéquez",51292,"En otro paÍs",116,0.23
110,"San Juan Sacatepéquez",218156,"En otro paÍs",738,0.34
111,"San Raymundo",31605,"En otro paÍs",112,0.35
112,"Chuarrancho",12638,"En otro paÍs",10,0.08
113,"Fraijanes",58922,"En otro paÍs",1623,2.75
114,"Amatitlán",116711,"En otro paÍs",649,0.56
115,"Villa Nueva",433734,"En otro paÍs",3881,0.89
116,"Villa Canales",155422,"En otro paÍs",786,0.51
117,"San Miguel Petapa",135447,"En otro paÍs",1337,0.99
