"Código","Municipio","Total de personas","Genero","Cantidad"
719,"Santiago Atitlán",41877,"Mujer",21302
801,"Totonicapán",103952,"Hombre",47890
801,"Totonicapán",103952,"Mujer",56062
802,"San Cristóbal Totonicapán",36119,"Hombre",16808
802,"San Cristóbal Totonicapán",36119,"Mujer",19311
803,"San Francisco el Alto",57894,"Hombre",27109
803,"San Francisco el Alto",57894,"Mujer",30785
804,"San Andrés Xecul",26984,"Hombre",12430
804,"San Andrés Xecul",26984,"Mujer",14554
805,"Momostenango",105617,"Hombre",50031
805,"Momostenango",105617,"Mujer",55586
806,"Santa María Chiquimula",55013,"Hombre",26349
806,"Santa María Chiquimula",55013,"Mujer",28664
807,"Santa Lucía la Reforma",22378,"Hombre",10727
807,"Santa Lucía la Reforma",22378,"Mujer",11651
808,"San Bartolo Aguas Calientes",10612,"Hombre",4949
808,"San Bartolo Aguas Calientes",10612,"Mujer",5663
901,"Quetzaltenango",180706,"Hombre",85644
901,"Quetzaltenango",180706,"Mujer",95062
902,"Salcajá",19434,"Hombre",9207
902,"Salcajá",19434,"Mujer",10227
903,"San Juan Olintepeque",35060,"Hombre",16364
903,"San Juan Olintepeque",35060,"Mujer",18696
904,"San Carlos Sija",30224,"Hombre",14221
904,"San Carlos Sija",30224,"Mujer",16003
905,"Sibilia",8407,"Hombre",3996
905,"Sibilia",8407,"Mujer",4411
906,"Cabricán",23033,"Hombre",10427
906,"Cabricán",23033,"Mujer",12606
907,"Cajolá",14948,"Hombre",6344
907,"Cajolá",14948,"Mujer",8604
908,"San Miguel Siguilá",7889,"Hombre",3395
908,"San Miguel Siguilá",7889,"Mujer",4494
909,"San Juan Ostuncalco",51828,"Hombre",23475
909,"San Juan Ostuncalco",51828,"Mujer",28353
910,"San Mateo",7895,"Hombre",3758
910,"San Mateo",7895,"Mujer",4137
911,"Concepción Chiquirichapa",17342,"Hombre",7838
911,"Concepción Chiquirichapa",17342,"Mujer",9504
912,"San Martín Sacatepéquez",29373,"Hombre",13373
912,"San Martín Sacatepéquez",29373,"Mujer",16000
913,"Almolonga",15724,"Hombre",7182
913,"Almolonga",15724,"Mujer",8542
914,"Cantel",42142,"Hombre",21383
914,"Cantel",42142,"Mujer",20759
915,"Huitán",13450,"Hombre",5964
915,"Huitán",13450,"Mujer",7486
916,"Zunil",14118,"Hombre",6381
916,"Zunil",14118,"Mujer",7737
917,"Colomba Costa Cuca",47544,"Hombre",23477
917,"Colomba Costa Cuca",47544,"Mujer",24067
918,"San Francisco la Unión",7939,"Hombre",3591
918,"San Francisco la Unión",7939,"Mujer",4348
919,"El Palmar",29132,"Hombre",14230
919,"El Palmar",29132,"Mujer",14902
920,"Coatepeque",105415,"Hombre",51087
920,"Coatepeque",105415,"Mujer",54328
921,"Génova",37497,"Hombre",17981
921,"Génova",37497,"Mujer",19516
922,"Flores Costa Cuca",21630,"Hombre",10677
922,"Flores Costa Cuca",21630,"Mujer",10953
923,"La Esperanza",22166,"Hombre",10508
923,"La Esperanza",22166,"Mujer",11658
924,"Palestina de los Altos",16205,"Hombre",7279
924,"Palestina de los Altos",16205,"Mujer",8926
1001,"Mazatenango",77431,"Hombre",37643
1001,"Mazatenango",77431,"Mujer",39788
1002,"Cuyotenango",33436,"Hombre",16366
1002,"Cuyotenango",33436,"Mujer",17070
1003,"San Francisco Zapotitlán",22533,"Hombre",10992
1003,"San Francisco Zapotitlán",22533,"Mujer",11541
1004,"San Bernardino",15849,"Hombre",7703
1004,"San Bernardino",15849,"Mujer",8146
1005,"San José el Ídolo",10212,"Hombre",4976
1005,"San José el Ídolo",10212,"Mujer",5236
1006,"Santo Domingo Suchitepéquez",42291,"Hombre",20653
1006,"Santo Domingo Suchitepéquez",42291,"Mujer",21638
1007,"San Lorenzo",13282,"Hombre",6468
1007,"San Lorenzo",13282,"Mujer",6814
1008,"Samayac",24790,"Hombre",12085
1008,"Samayac",24790,"Mujer",12705
1009,"San Pablo Jocopilas",20433,"Hombre",9758
1009,"San Pablo Jocopilas",20433,"Mujer",10675
1010,"San Antonio Suchitepéquez",59184,"Hombre",29259
1010,"San Antonio Suchitepéquez",59184,"Mujer",29925
1011,"San Miguel Panán",10320,"Hombre",5067
1011,"San Miguel Panán",10320,"Mujer",5253
1012,"San Gabriel",7383,"Hombre",3602
1012,"San Gabriel",7383,"Mujer",3781
1013,"Chicacao",60735,"Hombre",30119
1013,"Chicacao",60735,"Mujer",30616
1014,"Patulul",40683,"Hombre",20278
1014,"Patulul",40683,"Mujer",20405
1015,"Santa Bárbara",26346,"Hombre",13318
1015,"Santa Bárbara",26346,"Mujer",13028
1016,"San Juan Bautista",7826,"Hombre",3869
1016,"San Juan Bautista",7826,"Mujer",3957
1017,"Santo Tomas la Unión",11698,"Hombre",5605
1017,"Santo Tomas la Unión",11698,"Mujer",6093
1018,"Zunilito",8280,"Hombre",4133
1018,"Zunilito",8280,"Mujer",4147
1019,"Pueblo Nuevo",11315,"Hombre",5528
1019,"Pueblo Nuevo",11315,"Mujer",5787
1020,"Río Bravo",27606,"Hombre",13725
1020,"Río Bravo",27606,"Mujer",13881
1021,"San José La Máquina",23062,"Hombre",11170
1021,"San José La Máquina",23062,"Mujer",11892
1101,"Retalhuleu",90505,"Hombre",43862
