"Código","Municipio","Población de 7 años o más","Lugar de Estudio","Cantidad de Personas x Lugar","Porcentaje por Lugar de Estudio"
101,"Guatemala",823541,"En el mismo municipio",245259,29.78
101,"Guatemala",823541,"En otro municipio",1688,0.2
101,"Guatemala",823541,"En otro país",355,0.04
101,"Guatemala",823541,"NA_Lugar_Estudio",11019,1.34
102,"Santa Catarina Pinula",70958,"En el mismo municipio",15503,21.85
102,"Santa Catarina Pinula",70958,"En otro municipio",6009,8.47
102,"Santa Catarina Pinula",70958,"En otro país",111,0.16
102,"Santa Catarina Pinula",70958,"NA_Lugar_Estudio",1023,1.44
103,"San José Pinula",68509,"En el mismo municipio",17113,24.98
103,"San José Pinula",68509,"En otro municipio",4194,6.12
103,"San José Pinula",68509,"En otro país",39,0.06
103,"San José Pinula",68509,"NA_Lugar_Estudio",910,1.33
104,"San José del Golfo",6206,"En el mismo municipio",1466,23.62
104,"San José del Golfo",6206,"En otro municipio",198,3.19
104,"San José del Golfo",6206,"En otro país",0,0
104,"San José del Golfo",6206,"NA_Lugar_Estudio",25,0.4
105,"Palencia",59630,"En el mismo municipio",13192,22.12
105,"Palencia",59630,"En otro municipio",2274,3.81
105,"Palencia",59630,"En otro país",2,0
105,"Palencia",59630,"NA_Lugar_Estudio",423,0.71
106,"Chinautla",98780,"En el mismo municipio",22807,23.09
106,"Chinautla",98780,"En otro municipio",8238,8.34
106,"Chinautla",98780,"En otro país",6,0.01
106,"Chinautla",98780,"NA_Lugar_Estudio",776,0.79
107,"San Pedro Ayampuc",50043,"En el mismo municipio",11940,23.86
107,"San Pedro Ayampuc",50043,"En otro municipio",2321,4.64
107,"San Pedro Ayampuc",50043,"En otro país",1,0
107,"San Pedro Ayampuc",50043,"NA_Lugar_Estudio",496,0.99
108,"Mixco",413084,"En el mismo municipio",93186,22.56
108,"Mixco",413084,"En otro municipio",33602,8.13
108,"Mixco",413084,"En otro país",195,0.05
108,"Mixco",413084,"NA_Lugar_Estudio",5377,1.3
109,"San Pedro Sacatepéquez",43666,"En el mismo municipio",9195,21.06
109,"San Pedro Sacatepéquez",43666,"En otro municipio",3408,7.8
109,"San Pedro Sacatepéquez",43666,"En otro país",3,0.01
109,"San Pedro Sacatepéquez",43666,"NA_Lugar_Estudio",237,0.54
110,"San Juan Sacatepéquez",184474,"En el mismo municipio",46541,25.23
110,"San Juan Sacatepéquez",184474,"En otro municipio",5836,3.16
110,"San Juan Sacatepéquez",184474,"En otro país",5,0
110,"San Juan Sacatepéquez",184474,"NA_Lugar_Estudio",1849,1
111,"San Raymundo",26643,"En el mismo municipio",6226,23.37
111,"San Raymundo",26643,"En otro municipio",797,2.99
111,"San Raymundo",26643,"En otro país",0,0
111,"San Raymundo",26643,"NA_Lugar_Estudio",155,0.58
112,"Chuarrancho",10555,"En el mismo municipio",2382,22.57
112,"Chuarrancho",10555,"En otro municipio",321,3.04
112,"Chuarrancho",10555,"En otro país",0,0
112,"Chuarrancho",10555,"NA_Lugar_Estudio",70,0.66
113,"Fraijanes",52138,"En el mismo municipio",12076,23.16
113,"Fraijanes",52138,"En otro municipio",3056,5.86
113,"Fraijanes",52138,"En otro país",67,0.13
113,"Fraijanes",52138,"NA_Lugar_Estudio",642,1.23
114,"Amatitlán",100917,"En el mismo municipio",27414,27.16
114,"Amatitlán",100917,"En otro municipio",3031,3
114,"Amatitlán",100917,"En otro país",11,0.01
114,"Amatitlán",100917,"NA_Lugar_Estudio",894,0.89
115,"Villa Nueva",378827,"En el mismo municipio",99552,26.28
115,"Villa Nueva",378827,"En otro municipio",20525,5.42
115,"Villa Nueva",378827,"En otro país",58,0.02
115,"Villa Nueva",378827,"NA_Lugar_Estudio",5093,1.34
116,"Villa Canales",133606,"En el mismo municipio",32370,24.23
116,"Villa Canales",133606,"En otro municipio",6099,4.56
116,"Villa Canales",133606,"En otro país",16,0.01
116,"Villa Canales",133606,"NA_Lugar_Estudio",1483,1.11
117,"San Miguel Petapa",119532,"En el mismo municipio",27477,22.99
117,"San Miguel Petapa",119532,"En otro municipio",11076,9.27
117,"San Miguel Petapa",119532,"En otro país",26,0.02
117,"San Miguel Petapa",119532,"NA_Lugar_Estudio",1878,1.57
201,"Guastatoya",21686,"En el mismo municipio",5934,27.36
201,"Guastatoya",21686,"En otro municipio",282,1.3
201,"Guastatoya",21686,"En otro país",5,0.02
201,"Guastatoya",21686,"NA_Lugar_Estudio",225,1.04
202,"Morazán",10512,"En el mismo municipio",2260,21.5
202,"Morazán",10512,"En otro municipio",157,1.49
202,"Morazán",10512,"En otro país",0,0
202,"Morazán",10512,"NA_Lugar_Estudio",104,0.99
203,"San Agustín Acasaguastlán",38035,"En el mismo municipio",10102,26.56
203,"San Agustín Acasaguastlán",38035,"En otro municipio",816,2.15
203,"San Agustín Acasaguastlán",38035,"En otro país",1,0
203,"San Agustín Acasaguastlán",38035,"NA_Lugar_Estudio",526,1.38
204,"San Cristóbal Acasaguastlán",6227,"En el mismo municipio",1496,24.02
204,"San Cristóbal Acasaguastlán",6227,"En otro municipio",262,4.21
204,"San Cristóbal Acasaguastlán",6227,"En otro país",0,0
204,"San Cristóbal Acasaguastlán",6227,"NA_Lugar_Estudio",79,1.27
205,"El Jícaro",11426,"En el mismo municipio",2611,22.85
205,"El Jícaro",11426,"En otro municipio",249,2.18
205,"El Jícaro",11426,"En otro país",0,0
205,"El Jícaro",11426,"NA_Lugar_Estudio",99,0.87
206,"Sansare",11416,"En el mismo municipio",2646,23.18
206,"Sansare",11416,"En otro municipio",332,2.91
206,"Sansare",11416,"En otro país",1,0.01
206,"Sansare",11416,"NA_Lugar_Estudio",145,1.27
207,"Sanarate",34148,"En el mismo municipio",8435,24.7
207,"Sanarate",34148,"En otro municipio",758,2.22
207,"Sanarate",34148,"En otro país",3,0.01
207,"Sanarate",34148,"NA_Lugar_Estudio",460,1.35
208,"San Antonio la Paz",17751,"En el mismo municipio",3767,21.22
208,"San Antonio la Paz",17751,"En otro municipio",782,4.41
208,"San Antonio la Paz",17751,"En otro país",2,0.01
208,"San Antonio la Paz",17751,"NA_Lugar_Estudio",179,1.01
301,"Antigua Guatemala",40973,"En el mismo municipio",10310,25.16
301,"Antigua Guatemala",40973,"En otro municipio",1102,2.69
301,"Antigua Guatemala",40973,"En otro país",22,0.05
301,"Antigua Guatemala",40973,"NA_Lugar_Estudio",781,1.91
302,"Jocotenango",19292,"En el mismo municipio",2973,15.41
302,"Jocotenango",19292,"En otro municipio",2982,15.46
302,"Jocotenango",19292,"En otro país",12,0.06
302,"Jocotenango",19292,"NA_Lugar_Estudio",208,1.08
303,"Pastores",15433,"En el mismo municipio",3233,20.95
303,"Pastores",15433,"En otro municipio",1243,8.05
303,"Pastores",15433,"En otro país",1,0.01
303,"Pastores",15433,"NA_Lugar_Estudio",111,0.72
304,"Sumpango",31813,"En el mismo municipio",6672,20.97
304,"Sumpango",31813,"En otro municipio",1413,4.44
304,"Sumpango",31813,"En otro país",2,0.01
304,"Sumpango",31813,"NA_Lugar_Estudio",524,1.65
305,"Santo Domingo Xenacoj",10585,"En el mismo municipio",2328,21.99
305,"Santo Domingo Xenacoj",10585,"En otro municipio",691,6.53
305,"Santo Domingo Xenacoj",10585,"En otro país",1,0.01
305,"Santo Domingo Xenacoj",10585,"NA_Lugar_Estudio",135,1.28
306,"Santiago Sacatepéquez",25291,"En el mismo municipio",4960,19.61
306,"Santiago Sacatepéquez",25291,"En otro municipio",2033,8.04
306,"Santiago Sacatepéquez",25291,"En otro país",4,0.02
306,"Santiago Sacatepéquez",25291,"NA_Lugar_Estudio",268,1.06
307,"San Bartolomé Milpas Altas",6831,"En el mismo municipio",1412,20.67
307,"San Bartolomé Milpas Altas",6831,"En otro municipio",1001,14.65
307,"San Bartolomé Milpas Altas",6831,"En otro país",2,0.03
307,"San Bartolomé Milpas Altas",6831,"NA_Lugar_Estudio",60,0.88
308,"San Lucas Sacatepéquez",20577,"En el mismo municipio",4302,20.91
308,"San Lucas Sacatepéquez",20577,"En otro municipio",2156,10.48
308,"San Lucas Sacatepéquez",20577,"En otro país",14,0.07
308,"San Lucas Sacatepéquez",20577,"NA_Lugar_Estudio",421,2.05
309,"Santa Lucía Milpas Altas",13662,"En el mismo municipio",2666,19.51
309,"Santa Lucía Milpas Altas",13662,"En otro municipio",1224,8.96
309,"Santa Lucía Milpas Altas",13662,"En otro país",6,0.04
309,"Santa Lucía Milpas Altas",13662,"NA_Lugar_Estudio",441,3.23
310,"Magdalena Milpas Altas",10365,"En el mismo municipio",2316,22.34
310,"Magdalena Milpas Altas",10365,"En otro municipio",748,7.22
310,"Magdalena Milpas Altas",10365,"En otro país",2,0.02
310,"Magdalena Milpas Altas",10365,"NA_Lugar_Estudio",93,0.9
311,"Santa María de Jesús",18454,"En el mismo municipio",3596,19.49
311,"Santa María de Jesús",18454,"En otro municipio",724,3.92
311,"Santa María de Jesús",18454,"En otro país",0,0
311,"Santa María de Jesús",18454,"NA_Lugar_Estudio",124,0.67
312,"Ciudad Vieja",29121,"En el mismo municipio",5719,19.64
312,"Ciudad Vieja",29121,"En otro municipio",2065,7.09
312,"Ciudad Vieja",29121,"En otro país",4,0.01
312,"Ciudad Vieja",29121,"NA_Lugar_Estudio",449,1.54
313,"San Miguel Dueñas",10985,"En el mismo municipio",2056,18.72
313,"San Miguel Dueñas",10985,"En otro municipio",845,7.69
313,"San Miguel Dueñas",10985,"En otro país",0,0
313,"San Miguel Dueñas",10985,"NA_Lugar_Estudio",173,1.57
314,"San Juan Alotenango",20473,"En el mismo municipio",4515,22.05
314,"San Juan Alotenango",20473,"En otro municipio",1060,5.18
314,"San Juan Alotenango",20473,"En otro país",2,0.01
314,"San Juan Alotenango",20473,"NA_Lugar_Estudio",208,1.02
315,"San Antonio Aguas Calientes",9900,"En el mismo municipio",1761,17.79
315,"San Antonio Aguas Calientes",9900,"En otro municipio",1095,11.06
315,"San Antonio Aguas Calientes",9900,"En otro país",2,0.02
315,"San Antonio Aguas Calientes",9900,"NA_Lugar_Estudio",86,0.87
316,"Santa Catarina Barahona",3546,"En el mismo municipio",538,15.17
316,"Santa Catarina Barahona",3546,"En otro municipio",430,12.13
316,"Santa Catarina Barahona",3546,"En otro país",0,0
316,"Santa Catarina Barahona",3546,"NA_Lugar_Estudio",27,0.76
401,"Chimaltenango",83554,"En el mismo municipio",23433,28.05
401,"Chimaltenango",83554,"En otro municipio",2223,2.66
401,"Chimaltenango",83554,"En otro país",6,0.01
401,"Chimaltenango",83554,"NA_Lugar_Estudio",1167,1.4
402,"San José Poaquil",22856,"En el mismo municipio",5166,22.6
402,"San José Poaquil",22856,"En otro municipio",738,3.23
402,"San José Poaquil",22856,"En otro país",0,0
402,"San José Poaquil",22856,"NA_Lugar_Estudio",145,0.63
403,"San Martín Jilotepeque",61676,"En el mismo municipio",14892,24.15
403,"San Martín Jilotepeque",61676,"En otro municipio",831,1.35
403,"San Martín Jilotepeque",61676,"En otro país",2,0
403,"San Martín Jilotepeque",61676,"NA_Lugar_Estudio",522,0.85
404,"San Juan Comalapa",41229,"En el mismo municipio",9645,23.39
404,"San Juan Comalapa",41229,"En otro municipio",2155,5.23
404,"San Juan Comalapa",41229,"En otro país",4,0.01
404,"San Juan Comalapa",41229,"NA_Lugar_Estudio",446,1.08
405,"Santa Apolonia",15016,"En el mismo municipio",3312,22.06
405,"Santa Apolonia",15016,"En otro municipio",454,3.02
405,"Santa Apolonia",15016,"En otro país",0,0
405,"Santa Apolonia",15016,"NA_Lugar_Estudio",88,0.59
406,"Tecpán Guatemala",75219,"En el mismo municipio",18212,24.21
406,"Tecpán Guatemala",75219,"En otro municipio",1868,2.48
406,"Tecpán Guatemala",75219,"En otro país",4,0.01
406,"Tecpán Guatemala",75219,"NA_Lugar_Estudio",407,0.54
407,"Patzún",49017,"En el mismo municipio",10220,20.85
407,"Patzún",49017,"En otro municipio",1766,3.6
407,"Patzún",49017,"En otro país",3,0.01
407,"Patzún",49017,"NA_Lugar_Estudio",497,1.01
408,"San Miguel Pochuta",7463,"En el mismo municipio",1993,26.71
408,"San Miguel Pochuta",7463,"En otro municipio",283,3.79
408,"San Miguel Pochuta",7463,"En otro país",0,0
408,"San Miguel Pochuta",7463,"NA_Lugar_Estudio",59,0.79
409,"Patzicía",28069,"En el mismo municipio",5290,18.85
409,"Patzicía",28069,"En otro municipio",1334,4.75
409,"Patzicía",28069,"En otro país",2,0.01
409,"Patzicía",28069,"NA_Lugar_Estudio",276,0.98
410,"Santa Cruz Balanyá",7931,"En el mismo municipio",1782,22.47
410,"Santa Cruz Balanyá",7931,"En otro municipio",547,6.9
410,"Santa Cruz Balanyá",7931,"En otro país",0,0
410,"Santa Cruz Balanyá",7931,"NA_Lugar_Estudio",51,0.64
411,"Acatenango",19335,"En el mismo municipio",4304,22.26
411,"Acatenango",19335,"En otro municipio",681,3.52
411,"Acatenango",19335,"En otro país",1,0.01
411,"Acatenango",19335,"NA_Lugar_Estudio",135,0.7
412,"San Pedro Yepocapa",28758,"En el mismo municipio",7672,26.68
412,"San Pedro Yepocapa",28758,"En otro municipio",809,2.81
412,"San Pedro Yepocapa",28758,"En otro país",0,0
412,"San Pedro Yepocapa",28758,"NA_Lugar_Estudio",203,0.71
413,"San Andrés Itzapa",26742,"En el mismo municipio",5485,20.51
413,"San Andrés Itzapa",26742,"En otro municipio",1584,5.92
413,"San Andrés Itzapa",26742,"En otro país",1,0
413,"San Andrés Itzapa",26742,"NA_Lugar_Estudio",149,0.56
414,"Parramos",13554,"En el mismo municipio",3245,23.94
414,"Parramos",13554,"En otro municipio",705,5.2
414,"Parramos",13554,"En otro país",1,0.01
414,"Parramos",13554,"NA_Lugar_Estudio",155,1.14
415,"Zaragoza",20166,"En el mismo municipio",4475,22.19
415,"Zaragoza",20166,"En otro municipio",1202,5.96
415,"Zaragoza",20166,"En otro país",2,0.01
415,"Zaragoza",20166,"NA_Lugar_Estudio",212,1.05
416,"El Tejar",16775,"En el mismo municipio",3328,19.84
416,"El Tejar",16775,"En otro municipio",1674,9.98
416,"El Tejar",16775,"En otro país",3,0.02
416,"El Tejar",16775,"NA_Lugar_Estudio",206,1.23
501,"Escuintla",135581,"En el mismo municipio",36273,26.75
501,"Escuintla",135581,"En otro municipio",731,0.54
501,"Escuintla",135581,"En otro país",6,0
501,"Escuintla",135581,"NA_Lugar_Estudio",1996,1.47
502,"Santa Lucía Cotzumalguapa",95804,"En el mismo municipio",24094,25.15
502,"Santa Lucía Cotzumalguapa",95804,"En otro municipio",1091,1.14
502,"Santa Lucía Cotzumalguapa",95804,"En otro país",3,0
502,"Santa Lucía Cotzumalguapa",95804,"NA_Lugar_Estudio",1209,1.26
503,"La Democracia",19293,"En el mismo municipio",4505,23.35
503,"La Democracia",19293,"En otro municipio",734,3.8
503,"La Democracia",19293,"En otro país",2,0.01
503,"La Democracia",19293,"NA_Lugar_Estudio",157,0.81
504,"Siquinalá",19307,"En el mismo municipio",4492,23.27
504,"Siquinalá",19307,"En otro municipio",863,4.47
504,"Siquinalá",19307,"En otro país",0,0
504,"Siquinalá",19307,"NA_Lugar_Estudio",284,1.47
505,"Masagua",38004,"En el mismo municipio",9553,25.14
505,"Masagua",38004,"En otro municipio",851,2.24
505,"Masagua",38004,"En otro país",1,0
505,"Masagua",38004,"NA_Lugar_Estudio",555,1.46
506,"Tiquisate",48081,"En el mismo municipio",10803,22.47
506,"Tiquisate",48081,"En otro municipio",716,1.49
506,"Tiquisate",48081,"En otro país",3,0.01
506,"Tiquisate",48081,"NA_Lugar_Estudio",520,1.08
507,"La Gomera",39179,"En el mismo municipio",8656,22.09
507,"La Gomera",39179,"En otro municipio",1010,2.58
507,"La Gomera",39179,"En otro país",0,0
507,"La Gomera",39179,"NA_Lugar_Estudio",340,0.87
508,"Guanagazapa",13346,"En el mismo municipio",3629,27.19
508,"Guanagazapa",13346,"En otro municipio",441,3.3
508,"Guanagazapa",13346,"En otro país",1,0.01
508,"Guanagazapa",13346,"NA_Lugar_Estudio",81,0.61
509,"San José",53388,"En el mismo municipio",12855,24.08
509,"San José",53388,"En otro municipio",553,1.04
509,"San José",53388,"En otro país",0,0
509,"San José",53388,"NA_Lugar_Estudio",818,1.53
510,"Iztapa",15581,"En el mismo municipio",3421,21.96
510,"Iztapa",15581,"En otro municipio",310,1.99
510,"Iztapa",15581,"En otro país",2,0.01
510,"Iztapa",15581,"NA_Lugar_Estudio",111,0.71
511,"Palín",56334,"En el mismo municipio",13833,24.56
511,"Palín",56334,"En otro municipio",3011,5.34
511,"Palín",56334,"En otro país",6,0.01
511,"Palín",56334,"NA_Lugar_Estudio",695,1.23
512,"San Vicente Pacaya",14221,"En el mismo municipio",3300,23.21
512,"San Vicente Pacaya",14221,"En otro municipio",607,4.27
512,"San Vicente Pacaya",14221,"En otro país",0,0
512,"San Vicente Pacaya",14221,"NA_Lugar_Estudio",109,0.77
513,"Nueva Concepción",61150,"En el mismo municipio",13941,22.8
513,"Nueva Concepción",61150,"En otro municipio",398,0.65
513,"Nueva Concepción",61150,"En otro país",4,0.01
513,"Nueva Concepción",61150,"NA_Lugar_Estudio",483,0.79
514,"Sipacate",13740,"En el mismo municipio",2808,20.44
514,"Sipacate",13740,"En otro municipio",343,2.5
514,"Sipacate",13740,"En otro país",3,0.02
514,"Sipacate",13740,"NA_Lugar_Estudio",134,0.98
601,"Cuilapa",35176,"En el mismo municipio",9518,27.06
601,"Cuilapa",35176,"En otro municipio",754,2.14
601,"Cuilapa",35176,"En otro país",1,0
601,"Cuilapa",35176,"NA_Lugar_Estudio",401,1.14
602,"Barberena",49388,"En el mismo municipio",12862,26.04
602,"Barberena",49388,"En otro municipio",1328,2.69
602,"Barberena",49388,"En otro país",3,0.01
602,"Barberena",49388,"NA_Lugar_Estudio",329,0.67
603,"Santa Rosa de Lima",16734,"En el mismo municipio",3517,21.02
603,"Santa Rosa de Lima",16734,"En otro municipio",1172,7
603,"Santa Rosa de Lima",16734,"En otro país",6,0.04
603,"Santa Rosa de Lima",16734,"NA_Lugar_Estudio",153,0.91
604,"Casillas",21176,"En el mismo municipio",4698,22.19
604,"Casillas",21176,"En otro municipio",521,2.46
604,"Casillas",21176,"En otro país",1,0
604,"Casillas",21176,"NA_Lugar_Estudio",136,0.64
605,"San Rafael las Flores",10535,"En el mismo municipio",2327,22.09
605,"San Rafael las Flores",10535,"En otro municipio",409,3.88
605,"San Rafael las Flores",10535,"En otro país",2,0.02
605,"San Rafael las Flores",10535,"NA_Lugar_Estudio",62,0.59
606,"Oratorio",21058,"En el mismo municipio",5164,24.52
606,"Oratorio",21058,"En otro municipio",955,4.54
606,"Oratorio",21058,"En otro país",0,0
606,"Oratorio",21058,"NA_Lugar_Estudio",99,0.47
607,"San Juan Tecuaco",8476,"En el mismo municipio",2578,30.42
607,"San Juan Tecuaco",8476,"En otro municipio",350,4.13
607,"San Juan Tecuaco",8476,"En otro país",0,0
607,"San Juan Tecuaco",8476,"NA_Lugar_Estudio",44,0.52
608,"Chiquimulilla",45898,"En el mismo municipio",12339,26.88
608,"Chiquimulilla",45898,"En otro municipio",422,0.92
608,"Chiquimulilla",45898,"En otro país",2,0
608,"Chiquimulilla",45898,"NA_Lugar_Estudio",400,0.87
609,"Taxisco",25394,"En el mismo municipio",6302,24.82
609,"Taxisco",25394,"En otro municipio",726,2.86
609,"Taxisco",25394,"En otro país",0,0
609,"Taxisco",25394,"NA_Lugar_Estudio",216,0.85
610,"Santa María Ixhuatán",20106,"En el mismo municipio",4996,24.85
610,"Santa María Ixhuatán",20106,"En otro municipio",559,2.78
610,"Santa María Ixhuatán",20106,"En otro país",0,0
610,"Santa María Ixhuatán",20106,"NA_Lugar_Estudio",143,0.71
611,"Guazacapán",15935,"En el mismo municipio",3850,24.16
611,"Guazacapán",15935,"En otro municipio",894,5.61
611,"Guazacapán",15935,"En otro país",0,0
611,"Guazacapán",15935,"NA_Lugar_Estudio",84,0.53
612,"Santa Cruz Naranjo",13984,"En el mismo municipio",2926,20.92
612,"Santa Cruz Naranjo",13984,"En otro municipio",967,6.92
612,"Santa Cruz Naranjo",13984,"En otro país",1,0.01
612,"Santa Cruz Naranjo",13984,"NA_Lugar_Estudio",99,0.71
613,"Pueblo Nuevo Viñas",21419,"En el mismo municipio",4907,22.91
613,"Pueblo Nuevo Viñas",21419,"En otro municipio",775,3.62
613,"Pueblo Nuevo Viñas",21419,"En otro país",1,0
613,"Pueblo Nuevo Viñas",21419,"NA_Lugar_Estudio",142,0.66
614,"Nueva Santa Rosa",31041,"En el mismo municipio",7514,24.21
614,"Nueva Santa Rosa",31041,"En otro municipio",980,3.16
614,"Nueva Santa Rosa",31041,"En otro país",2,0.01
614,"Nueva Santa Rosa",31041,"NA_Lugar_Estudio",191,0.62
701,"Sololá",75102,"En el mismo municipio",19714,26.25
701,"Sololá",75102,"En otro municipio",889,1.18
701,"Sololá",75102,"En otro país",0,0
701,"Sololá",75102,"NA_Lugar_Estudio",662,0.88
702,"San José Chacayá",3387,"En el mismo municipio",832,24.56
702,"San José Chacayá",3387,"En otro municipio",231,6.82
702,"San José Chacayá",3387,"En otro país",0,0
702,"San José Chacayá",3387,"NA_Lugar_Estudio",40,1.18
703,"Santa María Visitación",2059,"En el mismo municipio",420,20.4
703,"Santa María Visitación",2059,"En otro municipio",249,12.09
703,"Santa María Visitación",2059,"En otro país",0,0
703,"Santa María Visitación",2059,"NA_Lugar_Estudio",17,0.83
704,"Santa Lucía Utatlán",18358,"En el mismo municipio",4212,22.94
704,"Santa Lucía Utatlán",18358,"En otro municipio",585,3.19
704,"Santa Lucía Utatlán",18358,"En otro país",0,0
704,"Santa Lucía Utatlán",18358,"NA_Lugar_Estudio",113,0.62
705,"Nahualá",63409,"En el mismo municipio",14290,22.54
705,"Nahualá",63409,"En otro municipio",1889,2.98
705,"Nahualá",63409,"En otro país",0,0
705,"Nahualá",63409,"NA_Lugar_Estudio",469,0.74
706,"Santa Catarina Ixtahuacán",47679,"En el mismo municipio",10641,22.32
706,"Santa Catarina Ixtahuacán",47679,"En otro municipio",2042,4.28
706,"Santa Catarina Ixtahuacán",47679,"En otro país",0,0
706,"Santa Catarina Ixtahuacán",47679,"NA_Lugar_Estudio",696,1.46
707,"Santa Clara la Laguna",8071,"En el mismo municipio",1920,23.79
707,"Santa Clara la Laguna",8071,"En otro municipio",354,4.39
707,"Santa Clara la Laguna",8071,"En otro país",0,0
707,"Santa Clara la Laguna",8071,"NA_Lugar_Estudio",68,0.84
708,"Concepción",5437,"En el mismo municipio",1240,22.81
708,"Concepción",5437,"En otro municipio",140,2.57
708,"Concepción",5437,"En otro país",0,0
708,"Concepción",5437,"NA_Lugar_Estudio",37,0.68
709,"San Andrés Semetabaj",11114,"En el mismo municipio",2686,24.17
709,"San Andrés Semetabaj",11114,"En otro municipio",538,4.84
709,"San Andrés Semetabaj",11114,"En otro país",5,0.04
709,"San Andrés Semetabaj",11114,"NA_Lugar_Estudio",107,0.96
710,"Panajachel",13068,"En el mismo municipio",3374,25.82
710,"Panajachel",13068,"En otro municipio",841,6.44
710,"Panajachel",13068,"En otro país",5,0.04
710,"Panajachel",13068,"NA_Lugar_Estudio",70,0.54
711,"Santa Catarina Palopó",3323,"En el mismo municipio",789,23.74
711,"Santa Catarina Palopó",3323,"En otro municipio",173,5.21
711,"Santa Catarina Palopó",3323,"En otro país",0,0
711,"Santa Catarina Palopó",3323,"NA_Lugar_Estudio",64,1.93
712,"San Antonio Palopó",12242,"En el mismo municipio",2377,19.42
712,"San Antonio Palopó",12242,"En otro municipio",559,4.57
712,"San Antonio Palopó",12242,"En otro país",3,0.02
712,"San Antonio Palopó",12242,"NA_Lugar_Estudio",74,0.6
713,"San Lucas Tolimán",25377,"En el mismo municipio",6806,26.82
713,"San Lucas Tolimán",25377,"En otro municipio",646,2.55
713,"San Lucas Tolimán",25377,"En otro país",1,0
713,"San Lucas Tolimán",25377,"NA_Lugar_Estudio",199,0.78
714,"Santa Cruz la Laguna",4846,"En el mismo municipio",1168,24.1
714,"Santa Cruz la Laguna",4846,"En otro municipio",154,3.18
714,"Santa Cruz la Laguna",4846,"En otro país",0,0
714,"Santa Cruz la Laguna",4846,"NA_Lugar_Estudio",17,0.35
715,"San Pablo la Laguna",6329,"En el mismo municipio",1376,21.74
715,"San Pablo la Laguna",6329,"En otro municipio",229,3.62
715,"San Pablo la Laguna",6329,"En otro país",2,0.03
715,"San Pablo la Laguna",6329,"NA_Lugar_Estudio",97,1.53
716,"San Marcos la Laguna",2298,"En el mismo municipio",480,20.89
716,"San Marcos la Laguna",2298,"En otro municipio",149,6.48
716,"San Marcos la Laguna",2298,"En otro país",1,0.04
716,"San Marcos la Laguna",2298,"NA_Lugar_Estudio",13,0.57
717,"San Juan la Laguna",10300,"En el mismo municipio",2497,24.24
717,"San Juan la Laguna",10300,"En otro municipio",586,5.69
717,"San Juan la Laguna",10300,"En otro país",0,0
717,"San Juan la Laguna",10300,"NA_Lugar_Estudio",86,0.83
718,"San Pedro la Laguna",9447,"En el mismo municipio",1901,20.12
718,"San Pedro la Laguna",9447,"En otro municipio",591,6.26
718,"San Pedro la Laguna",9447,"En otro país",3,0.03
718,"San Pedro la Laguna",9447,"NA_Lugar_Estudio",75,0.79
719,"Santiago Atitlán",36611,"En el mismo municipio",6412,17.51
719,"Santiago Atitlán",36611,"En otro municipio",740,2.02
719,"Santiago Atitlán",36611,"En otro país",4,0.01
719,"Santiago Atitlán",36611,"NA_Lugar_Estudio",446,1.22
801,"Totonicapán",90604,"En el mismo municipio",20261,22.36
801,"Totonicapán",90604,"En otro municipio",3054,3.37
801,"Totonicapán",90604,"En otro país",4,0
801,"Totonicapán",90604,"NA_Lugar_Estudio",783,0.86
802,"San Cristóbal Totonicapán",31310,"En el mismo municipio",4984,15.92
802,"San Cristóbal Totonicapán",31310,"En otro municipio",1887,6.03
802,"San Cristóbal Totonicapán",31310,"En otro país",6,0.02
802,"San Cristóbal Totonicapán",31310,"NA_Lugar_Estudio",472,1.51
803,"San Francisco el Alto",49012,"En el mismo municipio",8600,17.55
803,"San Francisco el Alto",49012,"En otro municipio",1643,3.35
803,"San Francisco el Alto",49012,"En otro país",2,0
803,"San Francisco el Alto",49012,"NA_Lugar_Estudio",840,1.71
804,"San Andrés Xecul",22806,"En el mismo municipio",4078,17.88
804,"San Andrés Xecul",22806,"En otro municipio",1332,5.84
804,"San Andrés Xecul",22806,"En otro país",0,0
804,"San Andrés Xecul",22806,"NA_Lugar_Estudio",211,0.93
805,"Momostenango",86389,"En el mismo municipio",20676,23.93
805,"Momostenango",86389,"En otro municipio",2008,2.32
805,"Momostenango",86389,"En otro país",13,0.02
805,"Momostenango",86389,"NA_Lugar_Estudio",1071,1.24
806,"Santa María Chiquimula",44425,"En el mismo municipio",9459,21.29
806,"Santa María Chiquimula",44425,"En otro municipio",840,1.89
806,"Santa María Chiquimula",44425,"En otro país",0,0
806,"Santa María Chiquimula",44425,"NA_Lugar_Estudio",457,1.03
807,"Santa Lucía la Reforma",17677,"En el mismo municipio",4070,23.02
807,"Santa Lucía la Reforma",17677,"En otro municipio",215,1.22
807,"Santa Lucía la Reforma",17677,"En otro país",0,0
807,"Santa Lucía la Reforma",17677,"NA_Lugar_Estudio",158,0.89
808,"San Bartolo Aguas Calientes",8596,"En el mismo municipio",2139,24.88
808,"San Bartolo Aguas Calientes",8596,"En otro municipio",310,3.61
808,"San Bartolo Aguas Calientes",8596,"En otro país",3,0.03
808,"San Bartolo Aguas Calientes",8596,"NA_Lugar_Estudio",64,0.74
901,"Quetzaltenango",158834,"En el mismo municipio",49587,31.22
901,"Quetzaltenango",158834,"En otro municipio",555,0.35
901,"Quetzaltenango",158834,"En otro país",46,0.03
